iteracija,zavrsetak_projekta,prekoracen_rok,T1_ucinak,T1_A1.2_ucinak,T2_ucinak,T3_ucinak,T3_A4.1_ucinak,T4_ucinak,T4_A4.1_ucinak,T5_ucinak,T5_A3.2_ucinak,T6_ucinak,T7_ucinak,T8_ucinak,T8_A3.1_ucinak,T8_A3.2_ucinak,T8_A4.1_ucinak,T8_A5.1_ucinak,T8_A5.2_ucinak,T9_ucinak,T9_A3.1_ucinak,P1_ucinak,P1_A5.2_ucinak
50,37.44252853898197,1,0.694652953429954,0.6100805895240327,0.0,0.0,0.0,0.0,0.0,2.4425285389819704,0.4582428898937123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6523044238848053,-0.33440097666816804
51,36.52405557578831,1,0.0,0.0,0.0,0.0,0.0,1.1466973443310375,0.2983539255281046,0.0,0.0,0.0,0.0,0.3186328401658497,0.2540339942269575,0.3218376016689325,0.19467021380608077,0.52405557578831,0.2335820952904359,0.0,0.0,0.0,0.0
52,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7230021612396766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,37.227009139805865,1,1.6204738959136802,0.7754776230425697,0.0,1.7830658345530646,1.3798391721992416,1.8234694093391162,0.5167084266546542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,40.18253569713298,1,1.227123641066414,0.8443337338645124,0.0,2.0669288417903555,1.046669246216025,0.849504828887837,0.6560679973056142,3.479798453611339,0.4637156750328316,0.9449150549243138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5766261852835513,-0.26943908424166313
55,36.87023495198065,1,0.6840647650748773,0.5590456402555422,0.0,0.0,0.0,0.0,0.0,1.8702349519806485,0.485095970925124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,36.0,0,0.0,0.0,1.0869274570332461,2.362132338797413,0.7696913356582104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,37.50066855512446,1,0.0,0.0,0.0,2.057711613207159,1.0551626841830393,0.0,0.0,0.0,0.0,1.229673476925818,1.1879334242059132,0.18908532053340402,0.3760962212311331,0.20377631878596025,0.25783640474050806,0.31273513091855265,0.2566074624732837,0.0,0.0,0.0,0.0
58,36.0,0,0.0,0.0,0.0,0.0,0.0,0.9284826439455968,0.42388253731969683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,36.85820627965169,1,0.0,0.0,0.0,1.6139963832186701,1.7323707298678355,0.0,0.0,0.0,0.0,0.7536895351463421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5973775457954826,1.6468323506375386,-0.6166574044904113,-0.26870238479164404
60,36.31890789014729,1,1.1620436389758129,0.43736942684273905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.185091001782991,0.0,0.2013652110244475,0.3566323015794298,0.30576013410944913,0.34215152352488787,0.4240605433092298,0.24558661033231818,0.0,0.0,-0.6320735378829918,-0.11176972196802118
61,36.333953702844475,1,0.0,0.0,0.0,2.197105729450305,0.8110828553400706,1.2573185201887118,0.5228708475044073,0.0,0.0,0.9149574036703622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,37.31859597988461,1,0.0,0.0,0.0,2.610239000863447,1.5193872057069884,1.0914016468394965,0.7992087741776234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
